Frame no.	Bubble_1	Bubble_2	Bubble_3	Bubble_4	Bubble_5	Bubble_6	Bubble_7	Bubble_8	Bubble_9	Bubble_10
Frame 41	(265, 343)	(576, 161)	(659, 268)	(763, 665)	(893, 414)	(971, 246)	(991, 428)	(1062, 431)	(1261, 295)	
Frame 42	(280, 364)	(623, 240)	(663, 642)	(875, 206)	(949, 405)	(954, 274)	(1035, 468)	(1247, 242)		
Frame 43	(307, 384)	(325, 360)	(512, 288)	(576, 609)	(641, 310)	(846, 154)	(945, 304)	(993, 358)	(1065, 516)	(1115, 427)
Frame 44	(357, 334)	(505, 555)	(593, 317)	(843, 102)	(918, 333)	(1000, 548)	(1015, 322)	(1080, 547)	(1132, 489)	(1208, 130)
Frame 45	(207, 270)	(337, 444)	(475, 490)	(557, 333)	(842, 48)	(897, 366)	(921, 575)	(1020, 279)	(1131, 552)	(1190, 69)
Frame 46	(169, 168)	(367, 459)	(400, 443)	(513, 338)	(789, 88)	(836, 591)	(888, 401)	(1004, 239)	(1095, 49)	(1127, 615)
Frame 47	(161, 90)	(276, 424)	(384, 488)	(487, 364)	(748, 150)	(754, 608)	(938, 421)	(979, 51)	(1038, 228)	(1130, 678)
Frame 48	(105, 122)	(201, 424)	(412, 485)	(461, 384)	(651, 623)	(733, 216)	(888, 91)	(979, 446)	(1115, 260)	(1189, 630)
Frame 49	(112, 226)	(433, 399)	(447, 459)	(601, 588)	(662, 590)	(833, 255)	(836, 155)	(1023, 477)	(1176, 287)	(1187, 561)
Frame 50	(136, 337)	(430, 435)	(486, 436)	(578, 530)	(829, 92)	(923, 306)	(1059, 505)	(1086, 311)	(1166, 491)	
Frame 51	(84, 312)	(273, 355)	(439, 467)	(526, 457)	(591, 470)	(740, 116)	(959, 375)	(1004, 337)	(1089, 540)	(1144, 541)
Frame 52	(87, 226)	(425, 279)	(470, 503)	(532, 408)	(729, 191)	(936, 369)	(994, 447)	(1082, 350)	(1111, 574)	(1155, 573)
Frame 53	(98, 142)	(485, 375)	(494, 531)	(609, 216)	(814, 248)	(862, 401)	(983, 520)	(1028, 279)	(1201, 608)	
Frame 54	(125, 55)	(420, 324)	(512, 337)	(536, 538)	(766, 407)	(795, 153)	(913, 585)	(931, 221)	(1106, 615)	(1168, 613)
Frame 55	(206, 66)	(381, 269)	(484, 293)	(587, 547)	(670, 415)	(793, 199)	(796, 627)	(1011, 129)	(1066, 594)	
Frame 56	(277, 228)	(347, 96)	(495, 266)	(570, 421)	(658, 577)	(1005, 568)	(1058, 425)	(1089, 233)	(1157, 235)	
Frame 57	(214, 303)	(302, 290)	(499, 429)	(500, 213)	(509, 91)	(558, 249)	(586, 550)	(720, 564)	(952, 536)	(975, 344)
Frame 58	(218, 371)	(287, 364)	(364, 248)	(399, 444)	(550, 471)	(613, 234)	(637, 41)	(775, 575)	(804, 429)	(916, 546)
Frame 59	(185, 435)	(223, 251)	(328, 402)	(557, 384)	(682, 212)	(687, 339)	(738, 336)	(762, 73)	(775, 587)	(838, 583)
Frame 60	(146, 503)	(149, 176)	(279, 350)	(447, 427)	(677, 552)	(703, 200)	(808, 503)	(870, 569)	(911, 98)	
Frame 61	(103, 92)	(152, 577)	(195, 311)	(307, 407)	(732, 253)	(766, 537)	(786, 94)	(875, 520)	(1056, 49)	
Frame 62	(25, 98)	(96, 323)	(193, 426)	(267, 615)	(541, 472)	(727, 294)	(757, 583)	(909, 473)	(953, 44)	(1067, 120)
Frame 63	(21, 187)	(55, 381)	(141, 510)	(374, 577)	(724, 334)	(751, 633)	(929, 444)	(1010, 217)	(1168, 59)	
Frame 64	(67, 444)	(87, 269)	(161, 601)	(433, 515)	(701, 635)	(714, 375)	(914, 301)	(951, 412)	(1195, 130)	
Frame 65	(114, 502)	(119, 361)	(214, 677)	(498, 453)	(632, 607)	(664, 612)	(717, 415)	(750, 281)	(975, 375)	(1049, 218)
Frame 66	(115, 455)	(165, 290)	(186, 550)	(580, 415)	(615, 201)	(658, 560)	(748, 448)	(797, 216)	(991, 339)	
Frame 67	(24, 303)	(84, 547)	(235, 572)	(283, 571)	(534, 173)	(645, 484)	(793, 495)	(962, 303)		
Frame 68	(69, 640)	(230, 158)	(292, 155)	(324, 512)	(547, 678)	(649, 456)	(746, 548)	(839, 496)	(933, 267)	
Frame 69	(13, 486)	(131, 241)	(157, 581)	(307, 287)	(377, 455)	(602, 603)	(654, 409)	(840, 602)	(905, 231)	
Frame 70	(34, 579)	(104, 373)	(164, 477)	(297, 392)	(399, 417)	(622, 354)	(662, 352)	(715, 591)	(877, 196)	(959, 578)
Frame 71	(72, 674)	(93, 479)	(229, 330)	(295, 498)	(501, 400)	(710, 302)	(818, 655)	(847, 156)	(961, 591)	(1075, 579)
Frame 72	(51, 571)	(128, 629)	(236, 183)	(327, 182)	(404, 561)	(540, 463)	(726, 251)	(885, 140)	(945, 688)	(988, 551)
Frame 73	(106, 658)	(157, 532)	(382, 76)	(559, 527)	(757, 203)	(955, 131)	(1008, 511)	(1039, 629)	(1177, 610)	
Frame 74	(287, 26)	(289, 643)	(611, 585)	(681, 411)	(787, 154)	(1022, 128)	(1029, 469)	(1190, 536)		
Frame 75	(125, 81)	(172, 338)	(444, 621)	(711, 162)	(720, 583)	(832, 356)	(1047, 429)	(1064, 161)	(1192, 458)	
Frame 76	(131, 191)	(587, 169)	(596, 624)	(833, 567)	(956, 432)	(1070, 387)	(1105, 196)	(1192, 376)		
Frame 77	(51, 498)	(403, 186)	(518, 179)	(701, 553)	(862, 623)	(958, 523)	(1083, 345)	(1139, 235)	(1192, 296)	
Frame 78	(28, 469)	(450, 208)	(609, 465)	(618, 231)	(798, 586)	(834, 626)	(1085, 312)	(1147, 229)		
Frame 79	(30, 376)	(436, 258)	(685, 670)	(764, 346)	(774, 518)	(1070, 158)	(1101, 233)	(1208, 296)		
Frame 80	(55, 276)	(419, 312)	(503, 655)	(736, 475)	(765, 447)	(971, 264)	(1018, 94)	(1109, 215)	(1201, 336)	
Frame 81	(77, 243)	(326, 615)	(407, 363)	(671, 568)	(679, 560)	(751, 384)	(899, 82)	(963, 234)	(965, 410)	(1114, 173)
Frame 82	(84, 341)	(292, 512)	(392, 415)	(522, 605)	(742, 319)	(770, 97)	(894, 551)	(949, 517)	(980, 139)	(1122, 129)
Frame 83	(112, 441)	(331, 461)	(387, 547)	(634, 107)	(638, 577)	(733, 252)	(927, 55)	(1071, 104)	(1168, 456)	
Frame 84	(246, 456)	(309, 301)	(314, 462)	(380, 572)	(492, 106)	(717, 186)	(847, 126)	(1006, 85)	(1161, 495)	
Frame 85	(178, 487)	(239, 486)	(360, 95)	(374, 397)	(737, 125)	(942, 77)	(1146, 534)			
Frame 86	(155, 533)	(269, 328)	(278, 274)	(330, 131)	(360, 441)	(533, 452)	(736, 93)	(789, 83)	(880, 55)	(1131, 561)
Frame 87	(148, 583)	(353, 206)	(563, 516)	(629, 109)	(702, 424)	(873, 84)	(1085, 538)			
Frame 88	(158, 615)	(173, 163)	(441, 243)	(527, 139)	(581, 199)	(788, 587)	(849, 371)	(865, 120)	(1025, 513)	
Frame 89	(30, 140)	(252, 610)	(446, 181)	(529, 185)	(541, 287)	(860, 161)	(977, 490)	(993, 313)	(1032, 587)	
Frame 90	(66, 62)	(337, 605)	(380, 231)	(502, 375)	(638, 138)	(699, 284)	(854, 200)	(924, 462)	(1135, 281)	(1159, 509)
