               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.96867,             0.52103,              1.2242,                   1,             0.98306,             0.99198,             0.83603,             0.65063,             0.32072,              1.0463,            0.002872,            0.002872,            0.002872
                  38,              1.0112,             0.55384,              1.2621,                   1,             0.98189,             0.99269,             0.81839,              0.6876,             0.32088,              1.0508,            0.002674,            0.002674,            0.002674
                  39,               1.044,             0.53749,              1.2599,             0.99837,             0.98333,             0.99396,             0.84376,             0.61475,             0.29796,              1.0221,            0.002476,            0.002476,            0.002476
                  40,              1.0042,             0.55122,              1.2144,             0.99555,             0.98333,             0.99437,             0.82525,             0.66694,              0.3465,              1.0436,            0.002278,            0.002278,            0.002278
                  41,             0.99111,             0.52156,              1.1683,             0.99441,             0.98333,             0.99452,             0.79128,             0.78919,             0.36698,              1.1043,             0.00208,             0.00208,             0.00208
                  42,             0.91048,             0.51409,              1.2183,             0.98353,             0.99507,             0.99451,             0.82432,             0.67318,             0.32098,              1.0657,            0.001882,            0.001882,            0.001882
                  43,             0.95028,             0.51861,              1.1716,             0.99791,             0.98333,             0.99484,             0.84709,             0.58956,             0.29735,              1.0295,            0.001684,            0.001684,            0.001684
                  44,             0.93033,             0.49221,              1.1973,             0.96314,                   1,             0.99403,              0.8464,             0.58123,             0.31181,              1.0186,            0.001486,            0.001486,            0.001486
                  45,               0.986,             0.55985,              1.2253,             0.99674,             0.96667,             0.99419,             0.84131,             0.59269,             0.30548,              1.0257,            0.001288,            0.001288,            0.001288
                  46,             0.89638,             0.48196,              1.1591,                   1,             0.98015,             0.99423,             0.83518,             0.60574,             0.30365,              1.0307,             0.00109,             0.00109,             0.00109
                  47,             0.89622,             0.46894,              1.2045,                   1,              0.9799,             0.99409,             0.83358,             0.61083,             0.30238,              1.0238,            0.000892,            0.000892,            0.000892
                  48,             0.87924,             0.47551,               1.109,             0.99966,             0.98333,             0.99409,             0.83945,             0.58246,             0.31059,              1.0134,            0.000694,            0.000694,            0.000694
                  49,             0.82502,             0.47896,               1.124,             0.99556,             0.98333,              0.9937,             0.85229,             0.60055,             0.32452,              1.0243,            0.000496,            0.000496,            0.000496
